,id_lot,nb_piece,prix_tva_normale,prix_HT,prix_m2_HT
143,63_1_InspiR'_Bouygues,3.0,227000.0,189166.67,2976.66
144,67_1_InspiR'_Bouygues,3.0,245500.0,204583.33,3032.21
145,63_2_InspiR'_Bouygues,3.0,247000.0,205833.33,3238.92
146,63_2__1_InspiR'_Bouygues,3.0,262000.0,218333.33,3431.3
147,63_2__2_InspiR'_Bouygues,3.0,273500.0,227916.67,3583.6
148,82_1_InspiR'_Bouygues,4.0,282000.0,235000.0,2841.6
149,82_2_InspiR'_Bouygues,4.0,310000.0,258333.33,3123.74
150,89_1_InspiR'_Bouygues,4.0,312000.0,260000.0,2907.63
151,89_InspiR'_Bouygues,4.0,322000.0,268333.33,3000.82
152,89__1_InspiR'_Bouygues,4.0,327000.0,272500.0,3048.1
153,43_1_PRELUDE_Bouygues,2.0,245900.0,204916.67,4703.16
154,43_2_PRELUDE_Bouygues,2.0,249900.0,208250.0,4779.66
155,40_PRELUDE_Bouygues,2.0,250900.0,209083.33,5120.83
156,43_3_PRELUDE_Bouygues,2.0,254500.0,212083.33,4867.65
157,44_2_PRELUDE_Bouygues,2.0,263500.0,219583.33,4973.57
158,40_4_PRELUDE_Bouygues,2.0,265500.0,221250.0,5401.61
159,44_3_PRELUDE_Bouygues,2.0,266500.0,222083.33,5030.2
160,46_3_PRELUDE_Bouygues,2.0,272500.0,227083.33,4882.46
161,46_3__1_PRELUDE_Bouygues,2.0,273500.0,227916.67,4900.38
162,40_5_PRELUDE_Bouygues,2.0,277500.0,231250.0,5645.75
163,64_None_PRELUDE_Bouygues,3.0,324500.4739336493,270417.06,4165.39
164,67_None_PRELUDE_Bouygues,3.0,326500.09478672984,272083.41,4050.67
165,64_1_PRELUDE_Bouygues,3.0,328499.7156398104,273749.76,4216.72
166,64_2_PRELUDE_Bouygues,3.0,329499.52606635075,274582.94,4229.56
167,64_3_PRELUDE_Bouygues,3.0,330799.6208530806,275666.35,4246.25
168,67_3_PRELUDE_Bouygues,3.0,332500.09478672984,277083.41,4131.26
169,64_1__1_PRELUDE_Bouygues,3.0,332500.09478672984,277083.41,4291.87
170,64_2__1_PRELUDE_Bouygues,3.0,334499.7156398104,278749.76,4317.69
171,64_None__1_PRELUDE_Bouygues,3.0,335499.52606635075,279582.94,4330.59
172,65_1_PRELUDE_Bouygues,3.0,335499.52606635075,279582.94,4256.74
173,64_3__1_PRELUDE_Bouygues,3.0,335699.7156398104,279749.76,4333.17
174,65_2_PRELUDE_Bouygues,3.0,338500.09478672984,282083.41,4300.05
175,65_3_PRELUDE_Bouygues,3.0,339499.90521327016,282916.59,4312.75
176,65_None_PRELUDE_Bouygues,3.0,340499.7156398104,283749.76,4325.45
177,68_3_PRELUDE_Bouygues,3.0,345429.383886256,287857.82,4193.12
178,78_1_PRELUDE_Bouygues,4.0,358499.7156398104,298749.76,3812.53
179,84_2_PRELUDE_Bouygues,4.0,371499.5260663508,309582.94,3653.76
180,78_2_PRELUDE_Bouygues,4.0,371499.5260663508,309582.94,3950.78
181,78_3_PRELUDE_Bouygues,4.0,376499.7156398104,313749.76,4003.95
182,80_1_PRELUDE_Bouygues,4.0,377499.5260663508,314582.94,3907.86
183,77_5_PRELUDE_Bouygues,4.0,386500.0947867298,322083.41,4158.06
184,62_5_PRELUDE_Bouygues,3.0,348500.0,290416.67,4681.87
185,62_4_PRELUDE_Bouygues,3.0,349500.0,291250.0,4695.31
186,81_5_PRELUDE_Bouygues,4.0,402899.7156398104,335749.76,4123.68
187,81_4_PRELUDE_Bouygues,4.0,409999.6208530806,341666.35,4175.83
188,67_5_PRELUDE_Bouygues,3.0,369500.0,307916.67,4567.14
189,67_4_PRELUDE_Bouygues,3.0,374500.0,312083.33,4628.94
190,86_4_PRELUDE_Bouygues,4.0,432500.4739336493,360417.06,4168.6
191,86_5_PRELUDE_Bouygues,4.0,436499.7156398104,363749.76,4207.15
192,92_4_PRELUDE_Bouygues,4.0,445500.2843601896,371250.24,3993.66
193,72_5_PRELUDE_Bouygues,3.0,392500.0,327083.33,4527.1
194,72_4_PRELUDE_Bouygues,3.0,393500.0,327916.67,4538.64
195,94_5_PRELUDE_Bouygues,4.0,459499.90521327016,382916.59,4068.39
196,30_5_PREAMBULE_Bouygues,1.0,165000.0,137500.0,4572.66
197,67_1_PREAMBULE_Bouygues,3.0,265500.0,221250.0,3271.48
198,62_1_PREAMBULE_Bouygues,3.0,266500.0,222083.33,3563.02
199,64_1_PREAMBULE_Bouygues,3.0,270500.0,225416.67,3477.58
200,62_2_PREAMBULE_Bouygues,3.0,283500.0,236250.0,3790.31
201,64_4_PREAMBULE_Bouygues,3.0,296500.0,247083.33,3813.01
202,67_3_PREAMBULE_Bouygues,3.0,297500.0,247916.67,3673.93
203,67_2_PREAMBULE_Bouygues,3.0,304500.0,253750.0,3760.37
204,70_PREAMBULE_Bouygues,3.0,309500.0,257916.67,3664.11
205,82_1_PREAMBULE_Bouygues,4.0,315500.0,262916.67,3189.96
206,81_4_PREAMBULE_Bouygues,4.0,325500.0,271250.0,3338.87
207,86_2_ANAGRAM'_Bouygues,4.0,234888.34123222748,195740.28,2261.59
208,59_5_ANAGRAM'_Bouygues,3.0,249852.5118483412,208210.43,3502.87
209,83_4_ANAGRAM'_Bouygues,4.0,268831.8483412322,224026.54,2698.46
210,86_4_ANAGRAM'_Bouygues,4.0,271889.28909952607,226574.41,2617.84
211,77_5_ANAGRAM'_Bouygues,4.0,314332.8909952607,261944.08,3380.36
212,90_5_ANAGRAM'_Bouygues,4.0,362400.0,302000.0,3320.51
213,60_1_ChezSoieplateaudelaCroix-Rousse_Bouygues,3.0,490000.0,408333.33,6754.89
214,97_2_ChezSoieplateaudelaCroix-Rousse_Bouygues,4.0,881000.0,734166.67,7499.15
215,40_4_Vill'Soi_Bouygues,2.0,231000.5687203792,192500.47,4807.7
216,55_2_Vill'Soi_Bouygues,3.0,267000.56872037915,222500.47,3991.76
217,55_1_Vill'Soi_Bouygues,3.0,272710.52132701426,227258.77,4077.12
218,56_2_Vill'Soi_Bouygues,3.0,279336.1137440758,232780.09,4115.63
219,55_3_Vill'Soi_Bouygues,3.0,312734.78672985785,260612.32,4675.5
220,45_5_Vill'Soi_Bouygues,2.0,322971.7535545023,269143.13,5886.77
221,55_4_Vill'Soi_Bouygues,3.0,285360.0,237800.0,4273.14
222,56_3_Vill'Soi_Bouygues,3.0,297416.0,247846.67,4382.01
223,78_2_Vill'Soi_Bouygues,4.0,379999.6208530806,316666.35,4020.65
224,74_5_Vill'Soi_Bouygues,4.0,389588.2464454976,324656.87,4357.23
225,78_3_Vill'Soi_Bouygues,4.0,435482.8436018958,362902.37,4618.25
226,75_4_Vill'Soi_Bouygues,4.0,437636.0189573461,364696.68,4829.14
227,66_1_Nature&Sens_Bouygues,3.0,319501.0,266250.83,4004.37
228,66_2_Nature&Sens_Bouygues,3.0,329001.0,274167.5,4123.44
229,86_Nature&Sens_Bouygues,4.0,347000.0,289166.67,3361.23
230,89_Nature&Sens_Bouygues,4.0,363000.0,302500.0,3375.36
